beautiful,[ 1.3334923 -0.6125378]
boy,[-0.8965137  1.175624 ]
can,[0.92730004 1.2873368 ]
children,[-0.71895224 -0.6746604 ]
daughter,[ 1.7395036 -0.7735332]
family,[-0.73999685 -0.77285004]
future,[-0.86938906  0.5576203 ]
king,[-0.57394034 -0.38319045]
man,[-0.68830216  0.45011485]
now,[-0.89648646  1.0311974 ]
only,[-0.06076128  1.1590881 ]
prince,[-0.55734164  0.28602993]
princess,[ 1.195956   -0.69104964]
queen,[-0.06958797 -0.73948437]
realm,[1.5301377  0.30215457]
royal,[-0.57692814 -0.7730803 ]
rule,[0.9724878  0.16779083]
son,[-0.896751   1.2366143]
strong,[-0.8968057   0.56217116]
their,[-0.788807  -0.7737161]
woman,[ 1.0140193  -0.30059728]
